0
//=======================================================
//Idx	Ya	Mon	Day	DoW	Hor	Min	Sec	Map	Duration
//=======================================================
0		*	*	*	*	0	0	0	2	5
1		*	*	*	*	1	0	0	2	5
2		*	*	*	*	2	0	0	2	5
3		*	*	*	*	3	0	0	2	5
4		*	*	*	*	4	0	0	2	5
5		*	*	*	*	5	0	0	2	5
6		*	*	*	*	6	0	0	2	5
7		*	*	*	*	7	0	0	2	5
8		*	*	*	*	8	0	0	2	5
9		*	*	*	*	9	0	0	2	5
10		*	*	*	*	10	0	0	2	5
11		*	*	*	*	11	0	0	2	5
12		*	*	*	*	12	0	0	2	5
13		*	*	*	*	13	0	0	2	5
14		*	*	*	*	14	0	0	2	5
15		*	*	*	*	15	0	0	2	5
16		*	*	*	*	16	0	0	2	5
17		*	*	*	*	17	0	0	2	5
18		*	*	*	*	18	0	0	2	5
19		*	*	*	*	19	0	0	2	5
20		*	*	*	*	20	0	0	2	5
21		*	*	*	*	21	0	0	2	5
22		*	*	*	*	22	0	0	2	5
23		*	*	*	*	23	0	0	2	5

24		*	*	*	*	0	30	0	2	5
25		*	*	*	*	1	30	0	2	5
26		*	*	*	*	2	30	0	2	5
27		*	*	*	*	3	30	0	2	5
28		*	*	*	*	4	30	0	2	5
29		*	*	*	*	5	30	0	2	5
30		*	*	*	*	6	30	0	2	5
31		*	*	*	*	7	30	0	2	5
32		*	*	*	*	8	30	0	2	5
33		*	*	*	*	9	30	0	2	5
34		*	*	*	*	10	30	0	2	5
35		*	*	*	*	11	30	0	2	5
36		*	*	*	*	12	30	0	2	5
37		*	*	*	*	13	30	0	2	5
38		*	*	*	*	14	30	0	2	5
39		*	*	*	*	15	30	0	2	5
40		*	*	*	*	16	30	0	2	5
41		*	*	*	*	17	30	0	2	5
42		*	*	*	*	18	30	0	2	5
43		*	*	*	*	19	30	0	2	5
44		*	*	*	*	20	30	0	2	5
45		*	*	*	*	21	30	0	2	5
46		*	*	*	*	22	30	0	2	5
47		*	*	*	*	23	30	0	2	5

end

